cik,company_name,fis_yr,filling_date,complexity,ex13,10k_url,ex13_url
310158,"Merck & Co., Inc.",2018,20190227,0.296791444,0,https://www.sec.gov/Archives/edgar/data/310158/000031015819000014/mrk1231201810k.htm,
723125,MICRON TECHNOLOGY INC,2018,20181015,0.331550802,0,https://www.sec.gov/Archives/edgar/data/723125/000072312518000092/a2018q4.htm,
789019,MICROSOFT CORP,2018,20180803,0.296791444,0,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm,
24545,MOLSON COORS BREWING CO,2018,20190212,0.326203209,0,https://www.sec.gov/Archives/edgar/data/24545/000002454519000007/tap2018123110-k.htm,
1059556,MOODYS CORP /DE/,2018,20190225,0.334224599,0,https://www.sec.gov/Archives/edgar/data/1059556/000119312519048576/d679514d10k.htm,
895421,MORGAN STANLEY,2018,20190226,0.368983957,0,https://www.sec.gov/Archives/edgar/data/895421/000119312519051943/d707577d10k.htm,
68505,"Motorola Solutions, Inc.",2018,20190215,0.320855615,0,https://www.sec.gov/Archives/edgar/data/68505/000006850519000006/msi201810-k.htm,
1002047,"NetApp, Inc.",2018,20180619,0.304812834,0,https://www.sec.gov/Archives/edgar/data/1002047/000156459018015820/ntap-10k_20180427.htm,
814453,NEWELL BRANDS INC,2018,20190304,0.254010695,0,https://www.sec.gov/Archives/edgar/data/814453/000119312519061714/d660135d10k.htm,
1164727,NEWMONT MINING CORP /DE/,2018,20190221,0.331550802,0,https://www.sec.gov/Archives/edgar/data/1164727/000155837019000806/nem-20181231x10k.htm,
753308,NEXTERA ENERGY INC,2018,20190215,0.29144385,0,https://www.sec.gov/Archives/edgar/data/37634/000075330819000039/nee-12312018x10k.htm,
320187,NIKE INC,2018,20180725,0.280748663,0,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/nke-5312018x10k.htm,
702165,NORFOLK SOUTHERN CORP,2018,20190208,0.139037433,0,https://www.sec.gov/Archives/edgar/data/702165/000070216519000012/nsc1231201810-k.htm,
73124,NORTHERN TRUST CORP,2018,20190226,0.318181818,0,https://www.sec.gov/Archives/edgar/data/73124/000007312419000088/a201810-k.htm,
1133421,NORTHROP GRUMMAN CORP /DE/,2018,20190131,0.27540107,0,https://www.sec.gov/Archives/edgar/data/1133421/000113342119000007/noc-12312018x10k.htm,
73309,NUCOR CORP,2018,20190228,0.205882353,1,https://www.sec.gov/Archives/edgar/data/73309/000119312519057744/d691427d10k.htm,"['https://www.sec.gov/Archives/edgar/data/73309/000119312519057744/d691427dex13.htm', 'https://www.sec.gov/Archives/edgar/data/73309/000119312519057744/d691427dex13.htm']"
797468,OCCIDENTAL PETROLEUM CORP /DE/,2018,20190221,0.251336898,0,https://www.sec.gov/Archives/edgar/data/797468/000079746819000004/oxy10k12-31x2018.htm,
29989,OMNICOM GROUP INC.,2018,20190212,0.184491979,0,https://www.sec.gov/Archives/edgar/data/29989/000002998919000007/a2018q410-k.htm,
1341439,ORACLE CORP,2018,20180622,0.315508021,0,https://www.sec.gov/Archives/edgar/data/1341439/000119312518201034/d568983d10k.htm,
75362,PACCAR INC,2018,20190221,0.221925134,0,https://www.sec.gov/Archives/edgar/data/75362/000156459019003670/pcar-10k_20181231.htm,
76334,PARKER HANNIFIN CORP,2018,20180824,0.245989305,0,https://www.sec.gov/Archives/edgar/data/76334/000007633418000087/ph630201810-k.htm,
723531,PAYCHEX INC,2018,20180720,0.189839572,0,https://www.sec.gov/Archives/edgar/data/723531/000072353118000026/payx-20180531x10k.htm,
77476,PEPSICO INC,2018,20190215,0.299465241,0,https://www.sec.gov/Archives/edgar/data/77476/000007747619000017/pepsico201810-k.htm,
31791,PERKINELMER INC,2018,20190226,0.288770053,0,https://www.sec.gov/Archives/edgar/data/31791/000003179119000003/pki1230201810k.htm,
